latitude,longitude,event_id,animal_id
56.23949645315372,-122.52004879142932,2259197332,GR_C01
56.239847030802096,-122.52241613281835,2259197333,GR_C01
56.24000268753448,-122.5231725056304,2259197334,GR_C01
56.231872146672664,-122.53275842815131,2259197335,GR_C01
56.23402319464351,-122.5313610482623,2259197336,GR_C01
56.23389117706351,-122.53208858542934,2259197337,GR_C01
56.233566765982076,-122.53183443520912,2259197338,GR_C01
56.23351572618708,-122.5325932390285,2259197339,GR_C01
56.23309988734827,-122.53192078594012,2259197340,GR_C01
56.233160701669036,-122.53137157784344,2259197341,GR_C01
56.23379302056126,-122.53226722989446,2259197342,GR_C01
56.23375128148934,-122.53073523483243,2259197343,GR_C01
56.23339374363977,-122.53122354964663,2259197344,GR_C01
56.233178181496434,-122.53124231343658,2259197345,GR_C01
56.23633959767214,-122.53330095596999,2259197346,GR_C01
56.23308332157797,-122.5322920086678,2259197347,GR_C01
56.23399911067809,-122.53211953319581,2259197348,GR_C01
56.23395735789364,-122.53295889067333,2259197349,GR_C01
56.233547182145394,-122.5337865892384,2259197350,GR_C01
56.23337574183306,-122.53598254950457,2259197351,GR_C01
56.231800884958,-122.53530796118751,2259197352,GR_C01
56.232170815887656,-122.53572288788646,2259197353,GR_C01
56.2308969188563,-122.53623833680845,2259197354,GR_C01
56.23150519002238,-122.53552123919283,2259197355,GR_C01
56.22612785301483,-122.54642457791144,2259197356,GR_C01
56.231063626294535,-122.53517171098392,2259197357,GR_C01
56.232993905267755,-122.53240601719762,2259197358,GR_C01
56.23286586829186,-122.53181072074756,2259197359,GR_C01
56.23293963368362,-122.53230989062266,2259197360,GR_C01
56.23375696140153,-122.53223540603419,2259197361,GR_C01
56.23560615646674,-122.48004062449989,2259197362,GR_C01
56.23243214574215,-122.47947063462976,2259197363,GR_C01
56.234354092656794,-122.4792832527925,2259197364,GR_C01
56.23825195622113,-122.4767942020498,2259197365,GR_C01
56.23847799363574,-122.47712992733656,2259197366,GR_C01
56.23398677504196,-122.48598291663083,2259197367,GR_C01
56.23316279644307,-122.4953501664517,2259197368,GR_C01
56.232524651196435,-122.49529403104995,2259197369,GR_C01
56.2324344796622,-122.49521456109498,2259197370,GR_C01
56.232208704426334,-122.49713711907557,2259197371,GR_C01
56.23400038112307,-122.50250165267737,2259197372,GR_C01
56.234670204096446,-122.50373513750537,2259197373,GR_C01
56.23500410923214,-122.504101860387,2259197374,GR_C01
56.237421996414284,-122.49766574494363,2259197375,GR_C01
56.236505864617655,-122.49774226631426,2259197376,GR_C01
56.23627783176367,-122.49911653056151,2259197377,GR_C01
56.235549138035736,-122.50111032503581,2259197378,GR_C01
56.23810850771866,-122.49415579413706,2259197379,GR_C01
56.234119912368406,-122.48775563327071,2259197380,GR_C01
56.23813681080795,-122.49010591342963,2259197381,GR_C01
56.23774170364246,-122.49015956256504,2259197382,GR_C01
56.23817820605021,-122.48925028709985,2259197383,GR_C01
56.23630276233982,-122.48982375646014,2259197384,GR_C01
56.238176289121306,-122.493154623043,2259197385,GR_C01
56.23775726469725,-122.4939506901015,2259197386,GR_C01
56.23676528401783,-122.4952544025241,2259197387,GR_C01
56.24158655645139,-122.48136333692787,2259197388,GR_C01
56.23971708073358,-122.49203715127082,2259197389,GR_C01
56.23651400551982,-122.49312817571935,2259197390,GR_C01
56.23722361171635,-122.4887144643586,2259197391,GR_C01
56.23035787281681,-122.47975684313913,2259197392,GR_C01
56.227542073496274,-122.47890789901602,2259197393,GR_C01
56.22626080293664,-122.47761887743825,2259197394,GR_C01
56.22314771800157,-122.47446803762037,2259197395,GR_C01
56.22573012227641,-122.46486860895651,2259197396,GR_C01
56.22613531171265,-122.4671532059488,2259197397,GR_C01
56.22589158824382,-122.46897909446935,2259197398,GR_C01
56.22579912069008,-122.47046417999084,2259197399,GR_C01
56.22754567353854,-122.47339171115401,2259197400,GR_C01
56.22803368164293,-122.47617538108047,2259197401,GR_C01
56.22940108810583,-122.47446309096952,2259197402,GR_C01
56.22947049443767,-122.47388146550014,2259197403,GR_C01
56.2299300489097,-122.47208473041931,2259197404,GR_C01
56.229860778979045,-122.4876672923133,2259197405,GR_C01
56.22526681804265,-122.47840654885718,2259197406,GR_C01
56.22534923936482,-122.47877637640075,2259197407,GR_C01
56.22514505428443,-122.47723085510857,2259197408,GR_C01
56.22264846134152,-122.48178040209051,2259197409,GR_C01
56.22364942225189,-122.4805089553975,2259197410,GR_C01
56.231215412405405,-122.47221223035481,2259197411,GR_C01
56.23071133243704,-122.47199333488405,2259197412,GR_C01
56.230222759019696,-122.46285423399208,2259197413,GR_C01
56.23060994767918,-122.46512319749202,2259197414,GR_C01
56.22875453330115,-122.46614908049608,2259197415,GR_C01
56.23765498482062,-122.47373701107902,2259197416,GR_C01
56.237444708358815,-122.47499828571962,2259197417,GR_C01
56.221645296844066,-122.46561897354252,2259197418,GR_C01
56.23736707819387,-122.47364415961249,2259197419,GR_C01
56.23948442533759,-122.47929431581333,2259197420,GR_C01
56.23681115425339,-122.47390991076858,2259197421,GR_C01
56.237438402929946,-122.47351411568948,2259197422,GR_C01
56.23612361654565,-122.47280618039896,2259197423,GR_C01
56.23743428642486,-122.47465963069816,2259197424,GR_C01
56.237266192350276,-122.47316154869588,2259197425,GR_C01
56.236312628728676,-122.47288424799689,2259197426,GR_C01
56.235172743381774,-122.47953026323869,2259197427,GR_C01
56.2380317265655,-122.48859076473622,2259197428,GR_C01
56.24966853977921,-122.48464313450582,2259197429,GR_C01
56.26187993321836,-122.47635884704792,2259197430,GR_C01
